id,label,primary_slice,x,y,dist_own_centroid,z_within_slice,share_of_6_nearest_in_same_slice,knn_majority_slice
rub_p_alicia_garza,Alicia Garza,rubio-cuba,40,907,705,-0.63,0.17,singham-spine
gonzales,Kate Gonzales,singham-spine,490,358,514,-0.65,0.17,rls-germany
maura,Eduardo Maura,rls-germany,-351,452,738,-0.7,0.17,afgj-interlock
p_erie_bail_fund,Erie Bail Fund,afgj-projects,586,-488,669,-0.7,0.17,singham-spine
per_kristen_hackett,Kristen Hackett,afgj-interlock,-264,-365,528,-0.76,0.17,rubio-cuba
ncri_report,Following the Benjamins: How a $48 Million Foundation Operated an Iran-Aligned Influence Network Outside State Oversight in Florida,iran-network,-352,-370,720,-0.76,0.17,afgj-interlock
rub_amazon_labor_union,Amazon Labor Union,rubio-cuba,-234,203,618,-0.76,0.17,afgj-projects
global_exchange,Global Exchange,iran-network,830,-869,707,-0.79,0.17,afgj-projects
chua,Heidi Chua,rls-germany,-414,396,692,-0.8,0.17,rubio-cuba
craig,Hannah Priscilla Craig,singham-spine,216,-215,458,-0.8,0.17,latam-solidarity
